algorithm,is_threaded,level_name,level_value,iterations,original_size,avg_compressed_size,avg_compression_ratio,avg_compression_time,avg_decompression_time,all_sha256_valid,compression_score,speed_score,trade_off_score
gzip,False,low,1,10,314572800,23641174.0,0.07515326817830403,2.7189752634978506,4.475924536200182,True,0.37229940442044035,0.2663908072177737,31.9345105819107
gzip,False,mid,5,10,314572800,19203595.0,0.06104658444722493,2.956034026000998,3.590840506296081,True,0.4583305886215576,0.29275880514240843,37.5544696881983
gzip,False,high,9,10,314572800,14011860.0,0.04454250335693359,19.53803839720058,3.4071967833006056,True,0.6281532216279638,0.08353172893696582,35.58424752824648
brotli,False,low,1,10,314572800,22222725.0,0.07064414024353027,1.072791430001962,1.3545006327025475,True,0.3960628140788315,0.7896269241522602,59.28448691155459
brotli,False,mid,6,10,314572800,15360514.0,0.04882975896199544,6.437968525900215,1.1717570499007706,True,0.5730013331585128,0.2518691569624459,41.24352450604793
brotli,False,high,11,10,314572800,629145600.0,2.0,9999.0,9999.0,False,0.013989758491516114,9.584234250887874e-05,0.7042800417012497
xz,False,low,1,10,314572800,16080404.0,0.05111822764078776,8.8636470301979,8.53016718139843,True,0.5473491213280463,0.11019176945185127,32.87704453899487
xz,False,mid,6,10,314572800,14084736.0,0.044774169921875,83.51490353000118,8.313146498501009,True,0.6249030865754246,0.020872218945057128,32.28876527602409
xz,False,high,9,10,314572800,13610824.0,0.04326764424641927,84.41562506060146,8.281923877901864,True,0.6466614365155262,0.0206764384543122,33.36689374849192
lz4,False,low,1,10,314572800,39607375.0,0.12590845425923666,0.9134358068025904,2.4135808075021488,True,0.22222111412331666,0.5760882459233191,39.91546800233179
lz4,False,mid,6,10,314572800,21249388.0,0.06754998524983724,6.667722676193807,2.31826763410063,True,0.41420463497584026,0.2132937049015976,31.374916993871892
lz4,False,high,9,10,314572800,19666676.0,0.06251867930094401,18.300665409301292,2.3313879169989375,True,0.447538516422399,0.09289696644246966,27.021774143243434
zstd_single_threaded,False,low,1,10,314572800,21151729.0,0.06723953564961752,0.737318388192216,1.393000836399733,True,0.41611704650716735,0.8997032667062758,65.79101566067216
zstd_single_threaded,False,mid,10,10,314572800,14933182.0,0.04747130711873372,7.60475967040693,1.2664477638958487,True,0.5893984952436795,0.21605347182857235,40.272598353612594
zstd_single_threaded,False,high,19,10,314572800,629145600.0,2.0,9999.0,9999.0,False,0.013989758491516114,9.584234250887874e-05,0.7042800417012497
zstd_multithreaded,True,low,1,10,314572800,21151729.0,0.06723953564961752,0.44660490689275323,1.4700502585998039,True,0.41611704650716735,1.0,70.80585232535836
zstd_multithreaded,True,mid,10,10,314572800,14933182.0,0.04747130711873372,1.8851770261971978,1.2746938778058392,True,0.5893984952436795,0.6065612247210701,59.79798599823748
zstd_multithreaded,True,high,19,10,314572800,12293536.0,0.03908009847005208,81.50372621409187,1.424590475196601,True,0.7159530829860506,0.023112191854487794,36.95326374202692
pigz,True,low,1,10,314572800,23702738.0,0.07534897486368815,1.6472811154992086,3.7633862088929164,True,0.37133241737726674,0.3542363724437426,36.27843949105047
pigz,True,mid,6,10,314572800,16234202.0,0.05160713831583659,1.8089225661969976,3.8807339690072693,True,0.542163698591406,0.33686658476367,43.9515141677538
pigz,True,high,9,10,314572800,14026175.0,0.04458800951639811,3.3636574063944864,3.6815883473987925,True,0.6275121335645677,0.27204944049831015,44.97807870314389
pbzip2,True,low,1,10,314572800,10492502.0,0.03335476557413737,10.047617194105987,1.4636116876004963,True,0.8388461589047111,0.16650308886990198,50.26746238873066
pbzip2,True,mid,6,10,314572800,9029407.0,0.02870371182759603,16.632887780002783,3.689039284302271,True,0.9747699932011038,0.09431463657101263,53.45423148860582
pbzip2,True,high,9,10,314572800,8801595.0,0.027979516983032228,20.74973775349499,5.572841724395403,True,1.0,0.07281410878073133,53.640705439036566
